STATION,NAME,DATE,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/3/2000,81,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/4/2000,75,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/5/2000,62,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/6/2000,70,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/7/2000,61,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/8/2000,54,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/9/2000,49,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/10/2000,50,31
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/11/2000,67,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/12/2000,72,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/13/2000,75,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/14/2000,79,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/15/2000,78,51
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/16/2000,62,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/17/2000,55,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/18/2000,56,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/19/2000,65,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/20/2000,68,34
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/21/2000,75,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/22/2000,62,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/23/2000,60,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/24/2000,69,41
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/25/2000,71,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/26/2000,71,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/27/2000,67,46
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/28/2000,62,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/29/2000,48,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/30/2000,,
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/31/2000,,
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/1/2000,59,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/2/2000,65,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/3/2000,67,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/4/2000,66,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/5/2000,51,40
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/6/2000,58,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/7/2000,59,30
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/8/2000,62,33
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/9/2000,61,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/10/2000,58,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/11/2000,58,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/12/2000,54,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/13/2000,50,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/14/2000,53,38
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/15/2000,46,32
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/16/2000,47,35
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/17/2000,52,36
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",11/18/2000,44,30
